n,a_num,a_den,b_n,lcm_1_n,d_n,d_n_a_n,d_n_b_n,gcd,d_over_den_a,gcd_num_a_b,log_gcd_over_n
1,6,1,5,1,1,6,5,1,1,1,0
2,351,4,73,2,8,702,584,2,2,1,0.34657359027997264
3,62531,36,1445,6,216,375186,312120,6,6,1,0.59725315640935162
4,11424695,288,33001,12,1728,68548170,57025728,6,6,1,0.44793986730701374
5,35441662103,36000,819005,60,216000,212649972618,176905080000,6,6,1,0.358351893845611
6,20637706271,800,21460825,60,216000,5572180693170,4635538200000,270,270,1,0.93307032649972921
7,963652602684713,1372000,584307365,420,74088000,52037240544974502,43290164058120000,54,54,1,0.56985486379489636
8,43190915887542721,2195200,16367912425,840,592704000,11661547289636534670,9701327165947200000,270,270,1,0.69980274487479688
9,1502663969043851254939,2667168000,468690849005,2520,16003008000,9015983814263107529634,7500463406153807040000,6,6,1,0.19908438546978388
10,43786938951280269198311,2667168000,13657436403073,2520,16003008000,262721633707681615189866,218560064017868443584000,6,6,1,0.1791759469228055
11,13780864457900933987428453,28400004864,403676083788125,27720,21300003648000,10335648343425700490571339750,8598302057297416159080000000,750,750,1,0.60182483695730504
12,51520703555193710949642777493,3550000608000,12073365010564729,27720,21300003648000,309124221331162265697856664958,257162718768664286240131392000,6,6,1,0.1493132891023379
13,136771442677233425923549477964981,311974053431040,364713572395983725,360360,46796108014656000,20515716401585013888532421694747150,17067175728253515278377837473600000,150,150,1,0.38543348416125045
14,104173922187571891465660988498144377,7799351335776000,11111571997143198073,360360,46796108014656000,625043533125431348793965930988866262,519978323390939987679630594957888000,6,6,1,0.12798281923057536
15,3197288551652994854721199255809398693,7799351335776000,341034504521827105445,360360,46796108014656000,19183731309917969128327195534856392158,15959087510328111282003506117401920000,6,6,1,0.11945063128187033
16,14365662242585012368392132880796944823,1134451103385600,10534522198396293262825,720720,374368864117248000,4740668540053054081569403850662991791590,3943797109431554589332217273279705600000,330,330,1,0.36244329090378286
17,120590281944220165054316733078740077141613381,306545704901339904000,327259338516161442321485,12252240,1839274229408039424000,723541691665320990325900398472440462849680286,601919667665897552852132823125932962224640000,6,6,1,0.1053976158369444
18,83668284422823479668615750270459069051925549,6812126775585331200,10217699252454924737153425,12252240,1839274229408039424000,22590436794162339510526252573023948644019898230,18793150918882132170757831497295759936627200000,270,270,1,0.3110234421665764
19,89992020702735963548504687159368221150445866910847,233621887768698933504000,320453816254421403579490445,232792560,12615581939509742409216000,4859569117947742031619253106605883942124076813185738,4042711376786252188232439756237798560599951941120000,54,54,1,0.20994652876654077
20,33338907204591442108470222377672879064526073959663,2748492797278810982400,10090942470266994032842836001,232792560,12615581939509742409216000,153025584069074719277878320713518514906174679474853170,127303111580532115754606806664822188991635718985216000,4590,4590,1,0.42158176515272955
21,511780392968082134302809479093002907198045040266777,1334982215821136762880,318921014082963955914319044245,232792560,12615581939509742409216000,4836324713548376169161549577428877473021525630521042650,4023374185395172295888935477850818892740516799761920000,9450,9450,1,0.4358938104994185
22,81141794508859447311699946554260365939696513705272569,6674911079105683814400,10112862370204493589226059105073,232792560,12615581939509742409216000,153357991621744355419112898987552091626026410902965155410,127579643874299495889539422890866760505616123907552768000,1890,1890,1,0.34292418672971309
23,6280037390415455228540156644599288431830866257562768370951,16242728619895770993960960,321646044050119013257870914202205,5354228880,153493785458015035892931072000,59346353339426051909704480291463275680801686133968161105486950,49370668878848221455850336192007903825662808008369935413760000,9450,9450,1,0.39799000089077341
24,1001472569523172910982392474052671192513653969899001364760751,81213643099478854969804800,10258527782126040976126514552283001,5354228880,153493785458015035892931072000,1892783156398796801756721775959548553850806003109112579397819390,1574620262504741346829842599215106149669268079713695130307072000,1890,1890,1,0.31434717116890371
25,20013890993711579280271749962415730545763277996096935955679584027,50758526937174284356128000000,328017861753617108138745994353819005,26771144400,19186723182251879486616384000000,7565250795622976967942721485793146146298519082524641791246882762206,6293587912300817511696983739815995498791065554100215803577920000000,378,378,1,0.23739576782478353
26,9868484827341310896550192186071373851790618149346694829740893319,780900414418065913171200000,10513075844868136906230866440417359025,26771144400,19186723182251879486616384000000,242468672207776008728238222011773655538495487929448291966733748847830,201711476029503746258494019179583826695341597946704674575265600000000,24570,24570,1,0.38881851790443178
27,1842707715345732075444500554614563117885409558785963564253127793509,4539684227358612844512000000,337680344520220231237735104674430132365,80313433200,518041525920800746138642368000000,210278748228962870057273736289286255634375626391301446171181425028486026,174932440948716595116821534770914558751226975500361606891637040320000000,114114,114114,1,0.4312945639892487
28,17353316891313084775652206196033803049864176266587733867894436817543291,1328311604925130118304211200000,10868197045847822233854339973569898723225,80313433200,518041525920800746138642368000000,6767793587612103062504360416453183189447028743969216208478830358841883490,5630177381638944696953272397512019373820430406627815698358090596800000000,390,390,1,0.21307666925441757
29,3591364558060056062694667589349994580237201971660796105369802851279950144549,8525313613820789067189843936000000,350448416188671492371137001869642486509005,2329089562800,12634514775682409397575348713152000000,5322402275045003084913497367416691967911533322001299828158047825596886114221618,4427745692450268450556976630291586988992213504085855959787246547609933760000000,1482,1482,1,0.25176371744331144
30,25931098354508309492391393247667570955723416237363691406018693542094899294359,1905658337206999909136553350400000,11320115195385966907843180411829810312080825,2329089562800,12634514775682409397575348713152000000,171923182090390091934554937232035995436446249653721274021903938184089182321600170,143024162698530963715772614866495259597218367404146087364200487183164510400000000,6630,6630,1,0.29331200277266356
31,84981111666104852542231539406606848540685965299997786550092713043062810050409499649,193022989580694696596496006930005760000,366259032039195694511963784094119536372841125,72201776446800,376394829682354658363167213513511232000000,165713167748904462457351501842883354654337632334995683772680790433972479598298524315550,137858005984017141412896539781913101513627727545680474560640417336121082439016000000000,1950,1950,1,0.24437369843734816
32,110150358967279219427236760448673252586487761983544505794472870700349418551376115249457,7720919583227787863859840277200230400000,11868391417565105084697095320648938996662005225,144403552893600,3011158637458837266905337708108089856000000,42958639997238895576622336574982568508730227173582357259844419573136273235036684947288230,35737609329743499966196614582557566657187925949110668269213731953787504925441497600000000,390,390,1,0.18644208559761538
33,714899203025962903744017192621324184304155607410552087191756515707830591278457778113713,1544183916645557572771968055440046080000,385141893551972009791193063262399441595876410125,144403552893600,3011158637458837266905337708108089856000000,1394053445900627662300833525611582159393103434450576570023925205630269652992992667321740350,1159723339416272579473132904062929981968996985848066969831771975500414184864208192000000000,1950,1950,1,0.22956317125932704
34,116153438866734400500450291028323015646126585299610259949580808241252569535698334503812409,7720919583227787863859840277200230400000,12515206395070677771488520122693471618033650555825,144403552893600,3011158637458837266905337708108089856000000,45299841158026416195175613501045976101989368266848001380336515214088502118922350456486839510,37685271836097148694132003653446508858338482127413237354507799714866875840833444211200000000,390,390,1,0.1754749040918733
